TIME,PLAYERS
1618238706429,179
1618239012355,182
1618239316525,180
1618239606585,180
1618239912486,194
1618240217288,189
1618240510022,191
1618240806779,193
1618241106956,194
1618241406201,205
1618241707502,204
1618242012048,201
1618242317471,206
1618242612065,197
1618242906606,193
1618243208808,202
1618243507884,207
1618243812566,206
1618244106967,215
1618244406806,219
1618244707602,213
1618245007582,219
1618245306599,225
1618245612391,227
1618245907361,228
1618246206610,221
1618246513015,221
1618246813227,232
1618247106541,221
1618247408073,219
1618247712374,229
1618248008359,233
1618248311609,240
1618248606255,228
1618248921872,229
1618249207259,225
1618249516817,233
1618249812355,234
1618250111809,230
1618250407477,223
1618250707443,221
1618251011784,230
1618251317213,220
1618251616974,219
1618251906949,231
1618252207912,230
1618252507586,226
1618252812815,230
1618253117442,220
1618253406836,217
1618253707379,212
1618254011892,208
1618254308400,211
1618254606571,212
1618254907404,205
1618255211857,203
1618255512505,205
1618255812531,208
1618256107637,215
1618256421952,224
1618256717562,216
1618257006747,220
1618257307639,225
1618257607814,220
1618257908902,230
1618258213197,219
1618258511186,219
1618258816839,223
1618259112018,215
1618259412238,215
1618259712069,215
1618260007073,224
1618260312009,229
1618260606443,233
1618260908222,248
1618261212494,255
1618261506409,270
1618261807572,275
1618262111466,271
1618262406566,258
1618262707657,256
1618263011984,246
1618263306191,261
1618263607185,264
1618263911301,276
1618264216453,276
1618264505828,280
1618264822158,272
1618265106603,257
1618265411204,254
1618265706887,250
1618266007729,248
1618266306613,246
1618266611756,239
1618266906934,228
1618267207158,233
1618267516425,232
1618267806119,231
1618268107202,232
1618268406757,226
1618268706416,217
1618269006111,220
1618269305868,222
1618269607501,220
1618269910979,219
1618270205824,208
1618270506628,207
1618270807191,208
1618271105629,210
1618271407891,213
1618271707216,223
1618272006123,232
1618272305673,236
1618272606293,223
1618272906958,233
1618273206328,228
1618273506057,237
1618273810616,237
1618274107479,237
1618274406347,230
1618274705879,236
1618275006557,243
1618275306324,233
1618275605665,223
1618275906481,226
1618276206988,219
1618276505290,223
1618276805957,226
1618277105502,224
1618277406097,217
1618277705654,207
1618278006121,214
1618278305799,214
1618278611637,209
1618278906994,211
1618279205771,203
1618279512283,213
1618279806554,212
1618280105910,210
1618280405390,217
1618280706063,225
1618281005766,226
1618281311073,218
1618281605792,215
1618281906205,214
1618282206555,213
1618282506262,206
1618283110750,204
1618283406445,196
1618283705797,201
1618284008455,204
1618284312629,213
1618284606319,202
1618284906002,196
1618285210734,207
1618285506785,196
1618285806244,200
1618286107367,188
1618286405660,196
1618286706419,194
1618287006070,192
1618287305730,200
1618287606290,198
1618287905884,189
1618288206947,194
1618288506495,191
1618288806149,185
1618289105686,181
1618289407115,168
1618289705621,162
1618290006255,167
1618290308065,169
1618290605782,167
1618290906628,162
1618291206359,162
1618291505931,162
1618291806574,163
1618292111809,163
1618292411788,162
1618292706360,154
1618293006172,148
1618293305938,154
1618293607747,161
1618293912500,158
1618294206269,156
1618294505731,160
1618294806605,159
1618295111284,165
1618295405979,169
1618295705985,167
1618296005650,160
1618296307333,172
1618296606179,162
1618296916348,160
1618297206533,163
1618297506287,160
1618297821773,157
1618298107847,153
1618298411884,154
1618298708713,158
1618299006693,157
1618299306679,164
1618299606509,159
1618299906676,158
1618300207766,155
1618300506727,146
1618300806809,153
1618301106465,150
1618301406211,151
1618301710798,149
1618302007520,152
1618302306471,152
1618302606483,146
1618302906874,145
1618303212260,153
1618303516807,154
1618303811834,149
1618304111797,145
1618304407184,145
1618304705901,150
1618305006971,145
1618305311907,147
1618305606223,146
1618305911865,142
1618306207332,143
1618306506566,146
1618306806449,145
1618307106481,155
1618307406244,152
1618307706399,147
1618308006279,142
1618308306136,143
1618308605894,150
1618308907135,158
1618309206162,160
1618309506309,148
1618309816690,148
1618310106282,149
1618310406463,152
1618310711818,154
1618311007226,145
1618311305808,147
1618311612031,148
1618311905584,154
1618312211202,158
1618312507574,162
1618312806578,163
1618313106730,158
1618313406821,155
1618313707084,159
1618314006447,161
1618314306821,155
1618314611936,145
1618314912432,158
1618315212264,152
1618315506114,155
1618315806306,155
1618316111879,149
1618316412069,151
1618316716636,163
1618317006952,162
1618317305674,156
1618317606351,163
1618317911827,172
1618318212947,175
1618318512323,181
1618318806979,178
1618319105987,182
1618319411541,184
1618319721851,190
1618320006954,184
1618320312182,181
1618320608473,188
1618320907942,183
1618321207460,192
1618321506025,204
1618321806974,203
1618322107749,199
1618322412430,203
1618322707116,205
1618323005727,185
1618323307369,177
1618323612112,185
1618323912425,196
1618324207883,197
1618324506743,197
1618324808096,196
1618325111819,200
1618325407218,198
1618325711891,201
1618326012137,208
1618326307509,219
1618326606553,229
1618326912556,228
1618327212559,234
1618327507286,232
1618327807927,224
1618328107367,232
1618328416772,227
1618328712221,225
1618329011625,220
1618329307476,215
1618329612404,216
1618329906295,223
1618330206281,215
1618330512158,225
1618330806547,229
1618331111359,227
1618331408337,232
1618331716608,233
1618332007275,234
1618332311842,238
1618332612061,226
1618332906471,233
1618333212205,242
1618333512163,259
1618333811909,252
1618334107162,253
1618334406948,252
1618334718286,257
1618335016769,257
1618335315251,268
1618335606649,259
1618335912927,266
1618336209725,277
1618336507095,278
1618336812368,283
1618337112180,269
1618337406992,259
1618337716577,261
1618338012153,270
1618338312026,284
1618338609307,272
1618338913131,262
1618339216708,267
1618339507915,262
1618339808900,267
1618340108771,266
1618340407809,270
1618340709284,266
1618341006394,258
1618341312415,247
1618341622513,249
1618341924357,248
1618342224031,248
1618342527885,254
1618342808660,255
1618343109364,261
1618343407686,264
1618343707620,256
1618344014081,251
1618344307912,252
1618344607858,262
1618344908811,262
1618345213286,254
1618345513967,265
1618345807610,266
1618346113074,256
1618346407184,260
1618346707511,272
1618347007218,261
1618347307623,272
